target,method,line,brier,log_loss,n,mean_predicted_over,actual_over_rate,calibration_error
strikeouts,poisson,2.5,0.13314765320817867,0.42788422971114526,4510,0.8189315028623202,0.807760532150776,0.01117097071154416
strikeouts,poisson,3.5,0.19467050544218098,0.5726560145472194,4510,0.6682358627859418,0.665410199556541,0.00282566322940081
strikeouts,poisson,4.5,0.21698476768751493,0.6206655240119525,4510,0.5011864810652704,0.5002217294900222,0.0009647515752482239
strikeouts,poisson,5.5,0.19881071651014956,0.5800063684398635,4510,0.34604935733542774,0.3514412416851441,-0.00539188434971638
strikeouts,poisson,6.5,0.15605381662903928,0.4802056078421176,4510,0.22104293915065615,0.22860310421286031,-0.007560165062204166
strikeouts,poisson,7.5,0.10242369120607618,0.34306305837518564,4510,0.13142396003753173,0.1310421286031042,0.0003818314344275209
strikeouts,poisson,8.5,0.06781166147940691,0.24507636135691552,4510,0.07318334798601195,0.0802660753880266,-0.007082727402014655
strikeouts,poisson,9.5,0.03506702027745424,0.14324523065362582,4510,0.03838378074271412,0.038802660753880266,-0.0004188800111661478
strikeouts,poisson,10.5,0.015399288209548879,0.07132920120420222,4510,0.0190555166179987,0.016186252771618625,0.002869263846380074
outs_recorded,conditional_empirical,11.5,0.09738743703040308,0.33730448332164487,4510,0.846559371186739,0.8465631929046563,-3.821717917351641e-06
outs_recorded,conditional_empirical,12.5,0.14062837809874953,0.44698864282856315,4510,0.7896312414008207,0.7729490022172949,0.01668223918352585
outs_recorded,conditional_empirical,13.5,0.1597584008716951,0.49253851399522325,4510,0.7398632379180438,0.7314855875831485,0.008377650334895237
outs_recorded,conditional_empirical,14.5,0.18200272346474142,0.5434304726781148,4510,0.6700013308959746,0.6787139689578714,-0.008712638061896816
outs_recorded,conditional_empirical,15.5,0.2192562231986045,0.6237382297445422,4510,0.5292533870974302,0.49667405764966743,0.03257932944776276
outs_recorded,conditional_empirical,16.5,0.2143870829497552,0.6132835439149066,4510,0.4540187981470634,0.4337028824833703,0.020315915663693118
outs_recorded,conditional_empirical,17.5,0.2048140149652752,0.5914852726294576,4510,0.3680027061506998,0.36341463414634145,0.004588072004358346
outs_recorded,conditional_empirical,18.5,0.12603889134284463,0.406199808092347,4510,0.19964255272288564,0.15764966740576497,0.04199288531712067
outs_recorded,conditional_empirical,19.5,0.1067432115140019,0.3555098428788963,4510,0.14981082750216504,0.13126385809312638,0.01854696940903866
outs_recorded,conditional_empirical,20.5,0.08967907419238838,0.31002257283707835,4510,0.1105910423830372,0.10643015521064302,0.004160887172394184
outs_recorded,conditional_empirical,21.5,0.02502477125884913,0.11415426110863294,4510,0.040434939434736326,0.025720620842572064,0.014714318592164263
